title,description,brand,category,price
"Magnasonic Wireless Key Finder for Keychain, Wallet, Phone, Remote Control includes Locator with 4 Receivers - MGWF300","The Magnasonic Wireless Key Finder will help you locate your lost items instantly. Just attach one of the color-coded receivers to your keys, wallet, remote control, purse, MP3 player, camera or anything else that tends to sneak away from you. If it goes missing, just press the corresponding color on the transmitter and the receiver will beep back, leading you directly to that item. So if youre one of those people who dont immediately look in the hamper for their wallet, youll really appreciate this product! If you ever added up the time youve spent looking for stuff you probably wouldnt be too pleased. So protect your valuable time with the Magnasonic Wireless Key Finder. Just attach one of the color-coded receivers to whatever item you want to track and youll always be able to find it quickly. There are two receiver key chains to keep track of your wandering keys or pets. The two thin-plate receivers are small enough to fit inside wallets, purses, briefcases, eyeglass cases, and camera cases or you can attach them directly to the item with the included double-sided adhesive pads. Hide and seek Phones, wallets, keys, remote controls, purses, even your cat seem to love playing hide and seek. But you will always win the game with this wireless locator. The color-coded receivers allow you to accurately track your belongings, even through couch cushions, walls and floors. Just push the corresponding colored transmitter button and the beeping sound will instantly reveal your items hiding place up to 80 feet away. Game over!Come out, come out, wherever you are The receivers beep at a loud 95 decibels, allowing you to easily hear exactly where your item is. And with the included extra set of batteries, youll be quickly locating your belongings for quite a while. So thanks to the Magnasonic Wireless Key Finder youre going to have some free time on your hands. Time to start that novel?",Magnasonic,Car Electronics,
Portable Bluetooth Speaker Stereo Music Wireless Speaker Bass Sound with Microphone TF Card Slot Outdoor Speaker Compatible with Samsung Galaxy Note 9 8 S9 S8 S7 Google Phones Tablets Laptops PC Black,"The Portable small bluetooth speaker offers great quality sound with the latest Bluetooth 4.0 technology. it can be easily fitted into a backpack, suitcase, or a travel bag. The rechargeable battery enables an 4-5 hours of playtime on a single charge. This speaker is strong enough to fill up a kitchen, living room, Car or classroom. It is ideal for personal usage, indoor party or outdoor BBQ or picnic with friends and family. Product Specification: Wireless Bluetooth connection Bluetooth V2.1 + EDR Support A2DP, AVRCP, Headset, handsfree profile Hands-free speaker phone Support TF card to play MP3 directly Power rating: 3w Frequency response: 280HZ-16KHZ Support Bluetooth device, also support non-bluetooth device Continuous working 4-5 hours Voice Prompt when calls coming Working range: up to 10m Dimension:60*60*50mm Battery Voltage:520mAh Package include: bluetooth speaker 1pcs AUX cable 1pcs usb charging cable 1pcs",TOPEPOP,Portable Bluetooth Speakers,$1.86
"Replacement Remote Control for KENWOOD KRFV6070D, RCR0820, VR7070, A70162005","This is a custom built replacement remote made by Redi Remote for the KENWOOD remote control number A70162005. *This is NOT an original remote control. It is a custom replacement remote made by Redi-Remote* This remote control is specifically designed to be compatible with the following models of KENWOOD units: KRFV6070D, RCR0820, VR7070, A70162005 *If you have any concerns with the remote after purchase, please contact me directly* There is a cover over the lower half of the remote. This will slide down to reveal the lower half buttons.",Redi-Remote,Remote Controls,$38.91
"8""- 10"" Netbook / DVD Player Universal Size Decal Skin - Fire Soccer","DecalSkins are thin covers designed to personalize your device while protecting from minor scratches. DecalSkins are not cases and are not designed to shield your device from impact-related damage.Ready to personalize your phone, laptop, iPad, gaming system and other electronic devices? DecalSkin provides an instant makeover with high quality adhesive covers. Unlike silicon or epoxy covers that add bulk, DecalSkins add virtually no additional volume yet offer some surface protection from minor scratches.So, what are the differences between a DecalSkin and a sticker? DecalSkins are made out of premium grade PET/PVC vinyl with an extra laminate coating, the same type of material you find on vehicle graphics and car wraps. A sticker normally made out of paper with adhesive backing. Skins are stretchable, not easily torn and can be removed easily without leaving harmful residues. Skins can be cleaned easily with a damp cloth, while cleaning a sticker will damage the sticker itself.All DecalSkins are digitally cut to ensure an exact fit with your device. They're offered in a wide variety of designs so go ahead and find the pattern that expresses you best!",DecalSkin,Skins & Decals,
Magpix IR-101 Midnight/Shot Infrared Night Vision Digital Camera,"This is the compact digital camera that takes pictures in complete darkness as easily as it shoots full-color shots in daylight. The 5 MP image sensor captures images at 2,560 x 1,920 pixel resolution and video at 640 x 480, assisted by its 8X digital zoom. Its infrared sensor captures monochrome images in the dark from nine feet away; no flash is given off during nighttime shots, ensuring that pictures taken won't startle nocturnal creatures. Images are displayed on its 3"" LCD and stored onto an SD card (up to 8 GB); a 4GB SD card holds up to 2,500 images or 75 minutes of video. Rechargeable lithium battery provides power for up to 500 shots from a 5-hour charge.",Magpix,Home Security Systems,
Yongnuo 2xYN-600EX-RT 2.4G Wireless Flash Speedlite with YN-E3-RT Radio Transmitter Set Light for Canon 1dx 1ds III 1d 5diii 5dii 6d 7d 70d 60d 50d 40d 700d/t5i 650d/t4i 600d/t3i 550d,"Welcome to our shop-Carbose Industrial limited. We are specialized in verious photography accessories for Canon and Nikon and other brands, if you are look for these items, No hesitate come to us, you won't be upset here.our items with good quality and reasonable price, also we offer fast and free shippment to USA by e-packet mail, it's just take 7-14 days ship to your country USA, we have customer service all the bussiness hours,feel free to contact us anytime if you have any doubt of our products.warmly welcomed your advice and inquiring,and if after sales, you have any question, please contact us first, we will try our best to improve our service to meet your demand.Return and Refunddue to product quality problems, we will negotiate with the buyer, if finally return we cover the freight back, if not the quality problem, any return the buyer cover the Return shipping. Come on now, a fantastic shopping experience is waiting for you. Color: YN-600EX-RT Circuit designIGBT Flash modeMMulti, Gr flash type: top camera, master,slave,Sc, Sn, S1,S2 zoom range: 20,24, 28, 35, 50, 70, 80, 105, 135, 200mm Up/down angle: -7-90 degrees; left/right angle:0-360 degrees. Power supply: 4xAA alkaline or Ni-MH batteries Flash times100-1500 times AA alkaline battery) recycle time: about 3s with AA alkaline battery) Color Temperature: 5600K Flash time:1/200s-1/20000s Flash Control: 8 group (1/128-1/1), all 29 fine-tuning External Interface:hot shoe, PC port, USB port wareless flash distance: long as 100m Package lists: 2 x YN-600EX-RT 1 x YN-E3-RT 2 x Shutter release cable 3 x Protection Bag 2 x Mini Stand 3 x Manual 3 x Original Box 2x gift battery case Note: there is no battery inside",YONGNUO,Shoe Mount Flashes,
Micro Innovations PD49W Micro Point III Button Combo Mouse,General Information - Manufacturer: Micro Innovations - Manufacturer Part Number: PD49W - Manufacturer Website Address: www.mic-innovations.com - Product Name: Micro Point Mouse - Marketing Information: - Three Button Performance Mouse - Designed for Windows 98 & 2000 - PS2 Version - Packaged Quantity: 1 - Package Type: Retail Pointing Device - Pointing Device Type: Mouse - Pointing Device Connectivity Technology: Cable - Pointing Device Wireless Technology: Not Applicable - Movement Detection: Opto-mechanical - Buttons: 3 x Button Interfaces/Ports - Interfaces/Ports: 1 x 6-pin mini-DIN Female PS/2 - Interfaces/Ports: 1 x 9-pin D-Sub (DB-9) Male RS-232 Serial Physical Characteristics - Weight: 0.82 lb Warranty - Standard Warranty: Lifetime Limited,Micro Innovations,Mice,
OULII Bohemian Style Women's Canvas Laptop Backpack (Black),"DescriptionThe item is a fashion and retro Bohemian style womens girls travel backpack double shoulder bag, which is mainly made of durable soft canvas fabric and cotton lining materials, and consists of a dual-zipper large capacity main bag and some inner outer pockets for safely holding your 14-inch laptop, A4 books, clothes, iPad, cellphone, wallet, camera and other your belongings while go to school or traveling. Therefore, it is really a wonderful womens canvas backpack for choice.Features- Mainly consists of a dual-zipper large capacity main bag with laptop compartment and some inner and pockets, for safely holding your 14-inch laptop, A4 books, clothes, iPad, cellphone, wallet, camera, folding umbrella, credit card, ID card and other your belongings while traveling or going to school.- Come with 2pcs small side pockets, to store water bottle and other small items.- Adjustable wide double shoulder straps help to reduce the stress on your shoulders, for comfortable to wear.Package Including1 * Fashion Bohemian Style Women's Girls Canvas Laptop Backpack Rucksack Double-Shoulder Bag Travel Bag (Black)",OULII,Backpacks,$21.99
"Precision Design PD-BP2 Sling Digital SLR Camera Backpack Case for Nikon D3100, D3200, D5100, D5200, D7000, D7100, D600, D800, D4","Made from high-quality, water-resistant materials, this Precision Design PD-BP2 Deluxe Sling Backpack is designed to provide the wearer with a truly versatile storage solution. Features padded shoulder strap, fully-padded main storage compartment with adjustable dividers, numerous pockets for accessories, soft mesh back, quick-release buckles, built-in microfiber cloth, and more! Accommodates one digital SLR camera with zoom lens attached, plus 2-4 lenses and accessories. Exterior Dimensions (WxHxD): 10 x 16 x 5.5 in. (25.4 x 40.6 x 14cm) Interior Dimensions (Top): 8 x 4.5 x 4 in. (20.3 x 11.4 x 10.2cm) Interior Dimensions (Bottom): 9 x 9.5 x 4 in. (22.9 x 24.1 x 10.2cm) Weight: 1.48 lbs. (671g)",Precision Design,Laptop Accessories,$29.95
Tram 1159-Wb 136-174 Mhz Pre-Tuned Gain Antenna,"136-174 MHZ PRE TUNED GAIN ANTENNA; NO TUNING NEEDED; SUPER 4.1 DBD GAIN FOR EXTRA-LONG DISTNACE; OUR BEST MOBILE ANTENNA; WILL TRANSMIT & RECEIVE FARTHER THAN ANY OTHER MOBILE ANTENNA; NO GROUND PLANE-- WILL WORK ON ANY SURFACE INSTALLATION; 5'7"" TALL",Tram,Radio Antennas,$28.17
10 Pieces 3.5mm mono plug cable connector Solder,Connector - 3.5mm mono plug Professional Heavy-Duty cable-mount Jack Plug. 3.5mm. Heavy duty mono 3.5mm jack plug with plastic body and cable protector. . Commonly used for the termination of guitar and signal cables. flexible protective cable boot. Suitable for demanding live sound and studio recording applications. Jack Plug 3.5mm solder Packaging: Bulk Type: Mono Termination#1: Jack 3.5mm Male,CESS,Power Cables,
"Graphics and More Geometric Orange Fox Home Button Stickers Fits Apple iPhone 4/4S/5/5C/5S, iPad, iPod Touch - Non-Retail Packaging - Clear","Add these awesome 3D stickers to your iPhone, iPad, iPad mini and iPod touch home buttons to create a fun, unique look. This is a set of 9 3D button stickers that are self adhering and removable. Compatible with iPhone, iPad, iPad mini and iPod touch devices including: iPhone 3G, 3GS, 4, 4S, 5, 5C, 5S, iPod Touch 1 4 generations, iPad 1 4 generations, iPad Mini 1 generations",Graphics and More,Headphones,
DLO DLA69006D/17 Microsoft Zune HD Jam Jacket CordSaver,DLO DLA69006D/17 Microsoft Zune HD Jam Jacket CordSaver,DLO,Cases,
"FLIR HM-224b First Mate II Thermal Camera, Gray","See at night and stay safe with the First Mate II family of thermal night vision cameras. The latest generation First Mate II cameras carry on the legacy of the popular First Mate and First Mate MS, using the same thermal imaging technology as FLIRs Voyager and M-Series thermal night vision systems, but theyre smaller, lighter and more powerful than ever before. They create pictures from heat, not light, so you can see landmarks, bridge abutments and other vessels clearly and navigate safely in all light conditions from daylight to complete darkness, helping you to safely avoid rocks, buoys, floating debris and other hazards on the water. And First Mate IIs new InstAlert feature helps you find people in the water faster than ever. InstAlert is an automated image processing feature that highlights the strongest heat signatures in the image in red, instantly alerting boaters to people who have fallen overboard or hazards along the way. Still rugged, lightweight and easy to use, First Mate II is the best family of handheld thermal night vision cameras on the water today. See at night and stay safe with the First Mate II family of thermal night vision cameras. The latest generation First Mate II cameras carry on the legacy of the popular First Mate and First Mate MS, using the same thermal imaging technology as FLIRs Voyager and M-Series thermal night vision systems, but they're smaller, lighter and more powerful than ever before. They create pictures from heat, not light, so you can see landmarks, bridge abutments and other vessels clearly and navigate safely in all light conditions from daylight to complete darkness, helping you to safely avoid rocks, buoys, floating debris and other hazards on the water. And First Mate IIs new InstAlert feature helps you find people in the water faster than ever. InstAlert is an automated image processing feature that highlights the strongest heat signatures in the image in red, instantly alerting boaters to people who have fallen overboard or hazards along the way. Still rugged, lightweight and easy to use, First Mate II is the best family of handheld thermal night vision cameras on the water today.",FLIR,Point & Shoot Digital Cameras,
"TILT TV WALL MOUNT BRACKET For Panasonic TC-P55S60 55"" INCH Plasma HDTV TELEVISION","Brand New In Box Wall Mount for Insignia NS65D260A13 65"" INCH LED + 1PACK OF 44 LARGE SCREEN CEALNING WIPES - LARGE",VPEmnt,TV Ceiling & Wall Mounts,
Zeiss 72mm T Circular Polarizer Filter,"The Carl Zeiss 72mm circular POL filter from Carl Zeiss meets the highest demands on mechanical quality and can be quickly and easily changed. High-quality optical glass is developed to meet the performance needs of Zeiss lenses. The proven T* coating minimizes light reflections on glass-air surfaces and improves transmission. In addition to the filter function, the front lens element is protected against contamination and scratches. With the standard thread diameter of 72mm, the filter also fits the lenses of other manufacturers.",Zeiss,Polarizing Filters,$158.00
"iPad Mini Case, Anti-Slip TPU Crystal Silicone Skin Case for iPad Mini 1/2/3 -Black","Your Brand New Apple Ipad Mini 2 Is Amazing And Would Be Accented Even More With This BLACK Cellto TPU Case! We Were Expecting Cool And Sleek, But This Ipad Mini 2 Is In A Completely New League Of Its Own. Bringing Next Generation Technology Straight To Your Hands, The Geeks Wanted To Make Sure You Keep Your Ipad Mini 2 Well Protected So It Can Give You Years Of Unquestioning Servitude. We Looked For The Absolute Best Option For You, Our Fellow Geeks, Balancing Functionality And Price. We Didn't Think That Was Enough To Thank You, So We're Included A FREE Lcd SCREEN PROTECTOR Cover Kit Film Guard With Every Purchase! We Salute You Ipad Mini 2 Owner!",KarenDeals,Cases,
"C&E 50 Feet, High Performance HDMI Cable with Red Mere Technology, CNE62969","Overview: High performance hdmi cable with red mere technology high speed hdmi cable with red mere is the best way to transmit your high speed hdmi signals using the thinnest cables possible red mere technology is a breakthrough in the functionality and efficiency of hdmi cables. High speed hdmi cables with red mere can reliably distribute high speed signals to much greater distances at the full 10.2 gbps data throughput, as opposed to the 50 feet distance for hdmi cables without red mere technology. This can be done with thinner and lighter cables, which are easier to handle route through your home theater system and which put less stress on your equipment's hdmi ports. Specifications: Converts coaxial or to slink digital audio signals to analog l/r audio 99.99% oxygen free copper conductor. 1.4v high speed hdmi cable with Ethernet the 4k resolution is 4096 x 2160 pixels at 24 hz 4k2k and 3d compatible. 10.2gbps embedded hdmi 1.4 cable booster module up to 4096 x 2160 resolution 24k gold plated connector Dolby trued dts-hd master audio deep color x.V. Color audio return channel lossless audio lip sync technology.",C&E,HDMI Cables,$2.54
Allytech T-Plug (Deans Style) Female to Male EC3 Style Connector/Adapter For RC Airplanes (3cm/1.2 inch),Features: Male Connector: EC3 Female Connector: T-Plug / Deans Style Wire Length: 3cm / 1.2 inch Wire Gauge: 14awg Used For: Convert battery with EC3 to T-Plug on ESC / charger Package Includes: 1* T-Plug (Deans Style) Female to Male EC3 Style Connector / Adapter,Allytech,Connectors & Adapters,$5.99
"RAM MOUNTS (RAP-B-230-1U Adjustable Double 1"" Ball Adapter","RAM stands for Round-A-Mount and was introduced in 1995. Far and away the most innovative product line of its kind, RAM continues to evolve into one of the most sought after accessories for electronics. RAM products have quickly become an essential mounting component for a wide variety of applications including rugged vehicle, industrial, military and defense, material handling as well as any application requiring a robust mounting solution.",RAM MOUNTS,Vehicle Mounts,$12.99
Swarovski Eyecup-Twist-In for 7x50.8x56 SLC Binocular,"The Swarovski Optik Twist-in Eyecup (44026) adjust to suit eye distance and protects against dirt and rain. Swarovski special eyecup is made from fully-tested, non-allergenic material for Swarovski SLC 7x50 & 8x56 binoculars should prevent intrusion of irritating ambient light.",Swarovski,Binoculars,
JVC LT37X887 37-Inch Flat Panel LCD TV,"JVC LT37X887 37"" Flat Panel LCD Stylisly appointed for the most discriminating tastes, the 37-inch JVC LT37X887 LCD HDTV is a sound home theater investment for today and years to come. More than just a pretty face, it's loaded with the latest JVC video technology to ensure a long-lasting, brightly colorful picture. This set features JVC's 5th generation 770p DIST (Digital Image Scaling Technology) with the Genessa 32-bit image processing CPU, which insures faster and more efficient sampling that drastically reduces jagged edges and increases the resolution of any video source. The LT37X887 in a black cabinet; the LT38X887 offers the same size and specs, but it comes in a silver cabinet. You'll enjoy 480p, 720p and 1080i high-definition viewing right out of the box thanks to the built-in digital ATSC tuner, which pulls HD signals right from the airwaves. You can also connect the set to an optional receiver or cable/satellite set-top box using either the dual HDMI or dual component connections. Its QAM tuner is fully compatible with unscrambled HDTV cable reception (via component or HDMI inputs), and it includes a standard analog NTSC tuner receives standard-definition (SD) programming. This set features a 1366 x 768-pixel resolution, 16:9 aspect ratio, 178-degree viewing angle, 500 cd/m2 (candela per square meter) brightness rating, and 800:1 contrast ratio. (The higher the contrast ratio, the greater a TV's ability to display subtle color details and not get washed out by ambient room light.) The digital 3D Y/C comb filter (with vertical contour correction) separates brightness and color signals better in 3D domain to eliminate cross-color, cross-luminance and dot-crawl distortion. It performs field-by-field comparisons of the television image to accurately separate the color from the black-and-white information and remove both horizontally and vertically hanging dots, as well as dot crawl, resulting in a razor sharp image. And JVC's exclusive Motion Adaptive Dynamic Gamma Correction (DGC) utilizes data from every signal level to ensure that tonal gradations are preserved in dark areas so images never look muddied. The Natural Cinema feature performs 3:2 pulldown detection and reversal, too--a handy feature for watching progressive-scan movie programs in their native 24-frame format. To adapt 24 frames-per-second movies to 30 fps video, frames in the original movie must be duplicated; 3:2 pulldown digitally corrects this duplication by removing the redundant information to display a frame-accurate picture. The set's Digital Super Detail (DSD) correction technology works with the Natural Progressive Circuitry to reproduce completely focused pictures, whether the image is still or highly active. A 5-point Color Management System (CMS) compensates for color range limitations and ensures JVC colors are reproduced with dimension and vivid detail. Other video processing and display features include digital video noise reduction, white character correction circuitry, five video status modes (theater, dynamic, game, standard, and TheaterPro D6500K), and seven aspect ratio modes with EZ Fill feature that enables you to choose the aspect ratio to suit your preferences. Other convenience features include a multi-function timer and standard sleep timer, 10-minute auto shut-off, front panel lock, high-speed channel changer, and V-Chip parental controls. The built-in, front-firing speakers produce 10 watts of power per channel for 20 watts of total power, and it also offers virtual surround sound, advanced tone correction and a volume limiter. It offers the following connection options: Composite AV (RCA): 3 in S-Video: 2 in Component video: 2 in HDMI: 2 in PC VGA: 1 in RF: 2 in Audio output: 1 optical digital out, 1 headphone Tech Talk HDMI is a lossless, uncompressed, all-digital audio/video interface to link any audio/video source (such as a set-top box, DVD player, or AV receiver) with your TV--all over a single cable. It provides up to a 5 GB per second bandwidth for transmitting pure digital video and audio signals with no degradation in the transfer. It can carry up to eight discrete audio channels, making it compatible with 7.1-channel surround sound systems. Signals are encrypted with HDCP (High-bandwidth Digital Content Protection) to prevent recording. HDMI is fully backward-compatible with most DVI connections. Component video (also called Y/Pb/Pr) features a three-jack video input, which provides separate connections for luminance (Y), blue color difference (PB) and red color difference (PR). This results in increased bandwidth for color information, resulting in a more accurate picture with clearer color reproduction and less bleeding than you would get with S-Video or composite (RCA yellow video plug) connections. You will need a separate RCA left/right audio cable for sound. What's in the Box LCD HDTV, removeable stand, remote control (with batteries), printed operating instructions",JVC,LED & LCD TVs,
"iPad mini Case, Easytop Wallet Flable Stand Folio PU Leather Wallet Cover Case with Built-in Card Slots Cash Pocket Magnetic Closure for Apple iPad Mini 1/2/3 7.9 Inch Tablet (Colorful Sunflower)","Please note: we try our best to match the color correctly, however, due to camera lighting, photo editing, and alternate monitor specifications, there may be subtle differences. 1. Fashion that protects your phone and offers an excellent hand feel. 2. Protecting your phone from scratches, dust, shock and fingerprint. 3. Access to all buttons and features. Perfect dressing-up kit for your cell phone. 4. Made from durable high quality material, provides maximum protection for your device. 5. Perfect dressing-up kit for your device. 6. Accessory ONLY, cell phone not included. Package: 1pc iPad mini wallet case Shipping from China,please pay your patience for your items. Thank you for your patience and welcome!",Easytop,Cases,$24.99
pcspareparts LYSB0113VAMW0-ELECTRNCS Replacement Digitizer Touch Screen Panel for RCA 10 Viking Pro 2-in-1,"If you are not clear, please contact me,Send a touch screen and touch screen wire photos to me, and that tell me your tablet computer brand. I will help you find the right touch screen. Thank you. Package includes: * 1pcs X touch screen and a set tools Screen Digitizer Replacement Parts Note: * Touch Panel Digitizer: If the top touch panel or glass top is cracked or broken but the image under it is fine,then you only need the Touch Panel * LCD Display Only: If the image under the glass is broken and the touch pancel is NOT then you only need an LCD display * Complete Screen with Touch Panel and LCD: If the top touch panel is broken and the lcd image is either black liquid or cracked you need a complete screen",pcspareparts,Tablet Accessories,
iPad Air 2 Case - Poetic iPad Air 2 Case [CoverMATE Series] - [Lightweight] [Art Print] Protective Slim Cover Case for Apple iPad Air 2 Chevron (3 Year Manufacturer Warranty From Poetic),"Why Choose Poetic?1. The Poetic brand means high-quality products for reasonable prices. Our cases are stylishly designed and produced with care to ensure an exact fit for the daily functionality of your device,2. We boast excellent customer service with a high satisfaction rating, with our team of representatives ready to assist you Monday to Friday, from 9:30AM to 5:30PM Pacific Time.3. We pack and ship your orders directly from our US-based warehouse within 24 business hours, and tracking information will be provided to you as soon as its available.4. All new Poetic products are backed with a robust 3-year warranty, so you are protected from in the event your case break down due to any manufacturing defects. Shop with confidence, and protect your technology with Poetic today.DescriptionSheathed in quality textured PU leather, the Slimline has the handsome looks to match its utility. The trifold cover folds up and magnetically snaps into a triangular stand, for comfortable typing and viewing positions. The velvety microfiber inner lining keeps the beautiful display dust-free, and the hard-shell polycarbonate back snaps on and protects the back of the tablet. Keep your Apple iPad Air 2 shielded and unencumbered, as intended by the tablet's designers.Compatibility:Compatible with the Apple iPad Air 2nd Generation tablet. Not compatible with any iPad tablet models.MaterialsPolyurethane leather cover lined with microfiber, along with durable hard polycarbonate back shell.Product Contents1x Poetic Tri-Fold Folio Stand Case",Poetic,Cases,$17.95
LB1 High Performance Battery for MSI A5000 A6000 A6200 A7200 GE700,"About LB1 High PerformanceAt LB1 High Performance we offer the highest quality batteries, adapters, consumer electronics, and more. Our mission is to provide our customers with the best buying experience possible. You can expect with every purchase unbeatable quality, performance, reliability by using only the best materials and workmanship. With our exceptional live customer service 7 days a week and our exclusive $100k product protection plan we ensure every customer is completely 100% satisfied guaranteed.Compatible ModelsMSI A5000 | A6000 | A6005 | A6200 | A6203 | A6205 | A7005 | A7200 | CR500 | CR500X | CR600 | CR600X | CR610 | CR610X | CR620 | CR630 | CR630X | CR700 | CR700X | CR720 | CR720X | CX500 | CX500X | CX600 | CX600X | CX605 | CX605M | CX605X | CX610 | CX610X | CX620 | CX620MX | CX620X | CX623 | CX623X | CX630 | CX700 | CX700X | CX705MX | CX720 | CX720X | GE700 Compatible Part Numbers957-173XXP-101 | 957-173XXP-102 | BTY-L74 | BTY-L75 Buy with confidence!18 Months Warranty.Live Customer Service, Email and Chat | Mon-Fri 4am-8pm PST | Sat- Sun 8am-5pm PST.Peace of mind exclusive 100k product protection.Copyright 2015 LB1 High Performance All Rights Reserved.",LB1 High Performance,Batteries,
JHGJ Spare Hard Case Bag Box Pouch Compatible with Many Sennheiser Headphones-case Fit Momentum On-ear and Hd25 Headphones,"Spare Hard Case Bag box Pouch Compatible with many sennheiser Headphones-case Fit Momentum ON-EAR AND HD25 Headphones Features : Compatible headphones : Momentum ON-EAR AND HD-25 Headphone Hard carrying case for maximum portability Color : Black Weight : 305g Dimension : 22 x 18.5 x 8.5 Note: This Unit May have Light visible blemishes, scratches or scuff marks from minimal usage. This Auction includes what is on the picture: Momentum Carrying Case.",JHGJ,Headphones,$2.00
Vera Bradley Tech Case- VENETIAN PAISLEY (WINTER 2013),"-MEASUREMENTS:5"" x 3 "" x "" - 6"" removable wrist strap -6"" removable wrist strap -Trigger clasp with removable wrist strap -Ideally sized for cameras, PDAs and mp3 players -Interior pocket holds wires, adapters and batteries -MACHINE WASHABLE",,-MACHINE WASHABLE,
Sony ECMGZ1M Gun / Zoom Microphone (Black),Interactive communication with your subject with the ECMGZ1M wireless microphone,Sony,Microphones,$68.00
BDP-S4100 Blu-ray 3D player,"Connect the BDP-S4100 3D Blu-ray player from Sony to a compatible 3D TV and enjoy all your entertainment in fantastic Full HD 3D, for realistic images that plunge you right into the heart of your movies. You can even upscale 2D movies into 3D thanks to the built-in 2D>3D converter.The Xross Media Bar means you can access loads of multimedia content on the Sony Entertainment Network, while the DLNA multimedia interface allows you to stream audio and video content from external devices.Boasting a smart Quartz design, the BDP S4100 even allows you to remotely access functions using your smartphone or tablet.",Sony,Blu-ray Players,
Nikon MH-26 Battery Charger,The MH-26 is a battery charger specifically designed to charge up to two EN-EL 18 Li-ion batteries. It comes with a power cable and two contact protectors.,Nikon,Camera,
Dell DW1703 802.11 b/g/n Wireless & Bluetooth 4.0 Mini PCI-E Card,Description: Model: DW1703 CN-0FXP0D Support 802.11b/g/n and Bluetooth 4.0 Package Includes: 1 x Dell DW1730 Card,Fenvi,Network Adapters,
Topeak Aero Lux 1W USB Light,"Super bright 1W LED provides 100 lumens of brightness with a dual mount for helmet and handlebar. Light features 3 modes (2 hr. 1W, 4 hr.5W, and 72 hr. blinking).",Topeak,USB Network Adapters,$4.03
"72mm High resolution Pro series Multi Coated HD 3 Pc. Digital Filter Set for JVC GY-HM650, GY-HM750, GY-HM600, GY-HM600 ProHD, JVC GY-HM650 ProHD, JVC GY-HM750 ProHD and More Models + eCost Microfiber Cloth","Ultraviolet (UV) Filter Absorbs the ultraviolet rays which often makes outdoor photographs hazy and indistinct. Multi-purpose fine-weather, filter for color as well as black and white photos. Serves as a permanent lens protector. Circular Polarizer (CPL) Filter Removes unwanted reflections from non-metallic surfaces such as water, glass etc. Enables colors to become more saturated and appear clearer, with better contrast. Increases the contrast and saturation in blue skies and white clouds. Fluorescent (FL-D) Filter Corrects the green cast created when using daylight under fluorescent lamps with daylight tubes. It restores the natural colors of your shooting objects. Microfiber Lens/LCD Screen Cleaning Cloth.",eCost,Filter Sets,
B+W 39mm 106 ND 1.8-64X (106M) 66-1069138 Neutral Density Filter with Multi-Resistant Coating (MRC),"This B+W Neutral Density Filter reduces the light by six f-stops. With this filter and without changing the f-stop, a shutter speed of 1/60 s is changed to a full second, thus requiring the use of a tripod. Flowing water is rendered as flowing in the photo, and people moving in streets are dissolved in unsharpness or become invisible. Because of its higher transmission in the red beyond 660 nm, this filter brings a slightly warm tone to color photographs. If this effect is undesirable, a B+W UV-/IR-Blocking Filter 486 in front of the neutral density filter (not behind it) remedies that situation. With a DSLR, auto white balance adjusts for this. The filter factor is 64x.",B + W,Neutral Density Filters,$55.00
DVRDeal UTC OSD Controller with BNC Connector for Security Cameras Sony effio-e effio-p effio-v DSP,"UTC OSD Controller is an add-on optional component to all Sony Effio-DSP security cameras. With the camera's OSD menu, user can control camera's WDR, Shutter/AGC, WBC, BLC, ATR, Privacy Mask features, etc.",DVRDeal,Dome Cameras,
Uxcell a13122500ux1006 20A 12 Positions Two Rows Screw Terminal Barrier Block Connector (Pack of 5),"Terminal block with 2 rows, 12 position screw, wire protector 10A terminal blocks screw to screw. Each position will accept two wires, The screws secure wires for reliable contact and help prevent accidental contact with the terminals. Used for home wire, electronic circuit, machine wire's wire connector, prevent from circuit in disorder.",uxcell,Connectors & Adapters,$6.62
Brand New - GP130AAM4YMX Visonic Powermax Express & PowerMaster 10 Alarm Battery 99-301712.,"GP130AAM4YMX Visonic Powermax Express & PowerMaster 10 Alarm Battery 99-301712 Visonic Powermax Express & PowerMaster Control Panel Alarm Battery. The 99-301712 Visonic back up battery is suitable for the PowerMaster and Powermax Express Control Panel. Compatible with the following Visonic alarms: Powermax Express, PowerMaster 10 & MCX-610.",BBM Battery,Security Sensors,
"Microtel Computer AM8071 Liquid Cooling PC Gaming Computer with Intel 4.0GHz I7 6700K, 16GB DDR4, 2TB 7200RPM, 24x DVDRW, Nvidia Geforce 1080 GTX 8GB GDDR5 Video, 1000w PS, WiFi","Intel Core i7-6700K 8M Skylake Quad-Core 4.0 GHz LGA 1151 91W Desktop Processor Intel HD Graphics 530 Microsoft Windows 10 Full Version CD 64 bit 16 GB DDR4 Memory 2TB Hard Drive 7200RPM 24X DVDRW Nvidia Geforce 1080 GTX 8GB GDDR5 Video 10/100/1000 Network LAN 6-channel 3D Premium Surround Sound Logitech USB Keyboard Logitech USB Optical Mouse w/wheel Audio Port (Line-in, Line-out, Mic-in) Additional software includes OpenOffice Suite for word processing, spreadsheet calculations, creating presentations, drawing and image processing. OpenOffice Suite is compatible with most Microsoft Word, Excel & PowerPoint documents Customer Service Toll Free 888-508-8898",Microtel Computer,Towers,
